	EdgesPerVertex	SCALE	edges	graphuloMult	mrTime_10	nodes	numpp	outEntriesG	outEntriesMR	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt8				6.7429	51.5		18874728	6974635	6974635	3.1534	130,2049,2568,33,4230,516,643,	13,2049,2565,33,4227,5154,643,	130,2049,2568,33,4230,516,643,	14159,13826,13642,13910,13862,13933,13894,13775,	13941,14206,13480,13983,13731,13883,13936,13777,	2094478,2277276,2401575,2296943,2325421,2469661,2555403,2453971,					
DH_14_TgraphAdj	16	14	482372			12543											5.2547	0.76828	5.5818	2.2	0.75971
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt8				29.679	65.704		53205300	23434482	24885048	4.0289	121,1573,2345,35,4629,6209,8265,	12097,1574,2339,3505,4635,6197,8262,	121,1573,2345,35,4629,6209,8265,	28561,28568,28569,28625,28483,28705,28440,28533,	28510,28516,28513,28494,28521,28515,28519,28476,	3468137,4194097,6324945,3490543,5082134,3365571,6582867,5855270,					
DH_15_TgraphAdj	16	15	979038			24102											10.771	1.5827	11.089	4.257	1.202
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt8				82.053	125.798		146709902	63820086	70538556	5.3443	12881,16705,20499,2503,3473,5137,801,	129,16706,2050,25025,3489,5134,802,	12881,16705,20499,2503,3473,5137,801,	58519,58714,58321,58455,58495,58662,58358,58480,	60160,56983,59045,57993,58551,58556,58595,58477,	11308031,9324421,11900182,14775410,13093801,12445724,12405845,10247221,					
DH_16_TgraphAdj	16	16	1981541			46830											22.236	3.2535	21.821	7.3231	1.6193
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt8				289.454	343.527		399831513	230189389	251401663	7.7955	14473,18689,25,33041,402,49345,6550,	14449,18657,25,33037,401,49305,6509,	14473,18689,25,33041,402,49345,6550,	119367,119587,119146,119513,119144,119398,119268,119346,	119420,119409,119605,119219,119771,119076,119393,119413,	28458179,26668222,29186709,27026006,41903119,32573109,39551299,29209208,					
DH_17_TgraphAdj	16	17	4006378			90195											46.923	6.808	45.258	12.089	2.9744
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt8				1085.881	979.981		1087078413	919088808	971042005	17.392	1347,2049,3075,385,51289,66585,81970,	13449,2049,30753,385,51297,66588,81971,	1347,2049,3075,385,51289,66585,81970,	243116,246094,239742,244388,241350,243058,242817,242925,	242826,246284,239313,244308,241295,242800,242799,242798,	74008249,66245769,67310423,71595742,78207533,67084681,90283228,92527830,					
DH_18_TgraphAdj	16	18	8079456			174131											99.447	14.417	90.219	23.758	5.359
DH_18_TgraphAdj_tXDHB_18_TgraphAdj_nt8				3670.19	3677.806		2932283421	2558631734	2693076151	27.75	132005,1587,196802,258,387,57633,74257,	132002,158739,196805,258,38554,57602,74243,	132005,1587,196802,258,387,57633,74257,	492580,492521,492579,493698,491645,492324,492692,492352,	492412,492377,492404,493825,490943,492438,492429,492310,	228514134,275793956,194768497,237472121,210922142,190644544,240003823,260537293,					
DH_19_TgraphAdj	16	19	16080128			335822											209.823	30.059	179.147	56.062	9.78
DH_19_TgraphAdj_tXDHB_19_TgraphAdj_nt8				15608.419	22291.157		7841713840	6580371644	5248132987	54.61	135729,17570,257,291459,352451,459018,68225,	135717,17563,257,291943,35269,459145,68198,	1250,135729,155657,17570,20673,257,268358,291459,32834,352451,38,401927,4228,459018,5571,68225,82454,	996134,996177,1004365,987776,996113,996126,996106,996083,	996111,996042,1003525,988610,996106,996048,996073,996068,	269469974,258562717,331505177,310205540,329560968,333201166,269101935,325379149,349252769,321775177,174928241,174998759,176797924,176535299,304970790,252495887,296702370,318491776,					
